UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,8,2019,25,4525249,2318528,2206721,1684448,1589450,364188,353129,33917,32719,150113,147222,6486,6392,79376,77809,1755268,1658784,400844,390150,57123,55454,179182,175139,13479,13021,1812849,1732151,1240928,1173967,339157,329745,19473,18719,145253,142484,4772,4695,63266,62541,1297366,1229720,368637,359866,35699,34882,169921,166135,10216,9875,505679,474570,443520,415483,25031,23384,14444,14000,4860,4738,1714,1697,16110,15268,457902,429064,32207,30284,21424,20572,9261,9004,3263,3146
R,8,2019,26,4607433,2363564,2243869,1713682,1611319,377199,363677,35296,33570,154549,153934,6768,6409,76070,74960,1781326,1677832,411523,398604,58106,56228,182806,181001,13516,12989,1852294,1768558,1265144,1194838,351590,340193,20278,19554,149737,149117,4932,4715,60613,60141,1319072,1248231,379020,368359,36246,35676,173838,172185,10236,9867,511270,475311,448538,416481,25609,23484,15018,14016,4812,4817,1836,1694,15457,14819,462254,429601,32503,30245,21860,20552,8968,8816,3280,3122
R,8,2019,27,4722442,2416897,2305545,1753842,1654701,383512,372904,36835,34264,161006,162796,6985,6565,74717,74315,1819873,1720250,415871,406426,60105,56877,189187,190613,13859,13319,1897611,1823967,1298613,1233376,357557,348328,21193,20143,156065,157820,5039,4818,59144,59482,1350829,1285879,382982,375133,37486,36245,180149,181539,10459,10046,519286,481578,455229,421325,25955,24576,15642,14121,4941,4976,1946,1747,15573,14833,469044,434371,32889,31293,22619,20632,9038,9074,3400,3273
R,8,2019,28,4814989,2449859,2365130,1778658,1694599,386038,382937,36920,33823,169252,173807,7724,6945,71267,73019,1840694,1758242,416189,415741,59133,55834,197301,202075,14856,13997,1933998,1888790,1328126,1280045,359318,357057,21033,20016,163952,168417,5629,5148,55940,58107,1376654,1330598,382698,383037,36407,35502,187871,192469,11226,10756,515861,476340,450532,414554,26720,25880,15887,13807,5300,5390,2095,1797,15327,14912,464040,427644,33491,32704,22726,20332,9430,9606,3630,3241
R,8,2019,29,4815980,2445222,2370758,1783664,1702656,378204,379925,36343,33140,172543,178852,7860,7132,66608,69053,1841783,1763028,405556,410266,57111,54429,199357,205508,14553,13739,1932217,1902333,1335141,1295101,351741,353873,20376,19675,167196,173641,5637,5316,52126,54727,1380432,1342822,372716,377644,34697,34574,190130,196436,10904,10559,513005,468425,448523,407555,26463,26052,15967,13465,5347,5211,2223,1816,14482,14326,461351,420206,32840,32622,22414,19855,9227,9072,3649,3180
R,8,2019,30,4627095,2348111,2278984,1719658,1636918,353488,359656,34660,31277,171240,180333,7627,6759,61438,64041,1773235,1692651,378284,387306,54248,50970,195871,205629,13750,13034,1859559,1836428,1292441,1251532,328417,335024,19151,18531,166238,175248,5574,5092,47738,51001,1333910,1295747,347068,356724,32493,32443,187349,197031,10452,10109,488552,442556,427217,385386,25071,24632,15509,12746,5002,5085,2053,1667,13700,13040,439325,396904,31216,30582,21755,18527,8522,8598,3298,2925
R,8,2019,31,4517789,2288338,2229451,1691267,1614973,330623,339551,34000,30474,166947,176946,7485,6777,58016,60730,1741631,1667901,353406,365471,52404,49297,190769,201021,13536,12767,1802358,1792571,1265076,1234175,306648,315540,18445,17727,162111,172112,5413,5101,44665,47916,1303678,1275861,323522,335487,30739,30883,182501,192747,10167,9897,485980,436880,426191,380798,23975,24011,15555,12747,4836,4834,2072,1676,13351,12814,437953,392040,29884,29984,21665,18414,8268,8274,3369,2870
R,8,2019,32,4422461,2240637,2181824,1668488,1588267,314389,325427,32643,29397,163410,173673,7429,6659,54278,58401,1715585,1639169,335627,350098,50314,47956,185571,196782,13068,12356,1763479,1751906,1248940,1213036,291406,302130,17522,17076,158660,169035,5312,4941,41639,45688,1284825,1252719,307013,320920,29361,29904,177646,188869,9829,9471,477158,429918,419548,375231,22983,23297,15121,12321,4750,4638,2117,1718,12639,12713,430760,386450,28614,29178,20953,18052,7925,7913,3239,2885
R,8,2019,33,4431521,2242810,2188711,1680114,1602151,306528,320468,32435,29421,163637,174147,7494,6736,52602,55788,1725770,1650480,326539,343600,49724,47694,185202,196186,13138,12347,1761746,1757591,1256732,1225233,283520,297262,17023,16820,158895,169638,5332,5075,40244,43563,1291489,1262793,298058,314834,28592,29590,177299,188456,9812,9572,481064,431120,423382,376918,23008,23206,15412,12601,4742,4509,2162,1661,12358,12225,434281,387687,28481,28766,21132,18104,7903,7730,3326,2775
R,8,2019,34,4460326,2250149,2210177,1692422,1621240,303365,320200,31899,29418,164076,177408,7407,6732,50980,55179,1736598,1669125,322434,342367,49164,47720,184885,199554,12919,12382,1766629,1775091,1266304,1240517,280766,297025,16489,16754,159419,172889,5223,5106,38428,42800,1299341,1277482,294353,313452,27859,29498,177123,191869,9576,9634,483520,435086,426118,380723,22599,23175,15410,12664,4657,4519,2184,1626,12552,12379,437257,391643,28081,28915,21305,18222,7762,7685,3343,2748
R,8,2019,35,4331170,2175547,2155623,1638084,1581970,288246,309140,31106,28756,162380,176092,7109,6495,48622,53170,1680172,1628006,306164,329936,47764,46774,182403,197747,12422,12074,1708556,1728078,1226219,1207354,266721,286852,16123,16245,157780,171768,5055,4839,36658,41020,1257739,1242705,279436,302116,27138,28728,174795,190222,9240,9282,466991,427545,411865,374616,21525,22288,14983,12511,4600,4324,2054,1656,11964,12150,422433,385301,26728,27820,20626,18046,7608,7525,3182,2792
R,8,2019,36,4361490,2186270,2175220,1651334,1598758,287953,311562,31378,29117,159914,176095,7175,6685,48516,53003,1693302,1644492,305729,332148,48127,47477,179801,197486,12479,12296,1716352,1742120,1236419,1219713,266560,288548,16102,16343,155385,171693,5158,5002,36728,40821,1267938,1254727,279153,303650,27344,29053,172282,189949,9360,9472,469918,433100,414915,379045,21393,23014,15276,12774,4529,4402,2017,1683,11788,12182,425364,389765,26576,28498,20783,18424,7519,7537,3119,2824
R,8,2019,37,4367016,2184529,2182487,1653988,1606447,286824,313229,30928,28562,158117,175696,7211,6660,47461,51893,1695026,1651151,304117,333594,47727,46783,177304,196341,12475,12159,1713963,1744868,1238496,1222566,265329,290365,15922,15803,153511,171137,5140,4925,35565,40072,1268982,1256892,277472,305373,27086,28529,169660,188719,9304,9324,470566,437619,415492,383881,21495,22864,15006,12759,4606,4559,2071,1735,11896,11821,426044,394259,26645,28221,20641,18254,7644,7622,3171,2835
R,8,2019,38,4304489,2148742,2155747,1633604,1591064,282151,310158,29881,28381,149748,169324,6977,6188,46381,50632,1673492,1634754,299021,330110,46515,46264,168421,189203,12144,11552,1689256,1724722,1227502,1212930,261444,287619,15239,15864,145204,164882,4971,4539,34896,38888,1257277,1246267,273322,302200,26388,28268,161003,181841,9046,8850,459486,431025,406102,378134,20707,22539,14642,12517,4544,4442,2006,1649,11485,11744,416215,388487,25699,27910,20127,17996,7418,7362,3098,2702
R,8,2019,39,4385204,2196285,2188919,1666990,1611032,294034,321740,30919,28694,150976,170452,7129,6422,46237,50579,1706859,1654580,310855,341642,47925,46818,169339,190211,12316,11869,1719239,1749173,1245478,1224766,272537,298849,15670,16017,146303,165972,4969,4773,34282,38796,1274774,1257898,284168,313348,26949,28694,161636,182755,9070,9155,477046,439746,421512,386266,21497,22891,15249,12677,4673,4480,2160,1649,11955,11783,432085,396682,26687,28294,20976,18124,7703,7456,3246,2714
R,8,2019,40,4132159,2061035,2071124,1567216,1525140,273149,303458,28546,26683,143161,163088,6276,5881,42687,46874,1603994,1565404,288544,321689,44244,43661,160100,181485,11091,10826,1623240,1658491,1179919,1162942,253467,281857,14726,14751,138973,158907,4402,4336,31753,35698,1207020,1193385,264131,294912,25138,26540,153238,174501,8192,8303,437795,412633,387297,362198,19682,21601,13820,11932,4188,4181,1874,1545,10934,11176,396974,372019,24413,26777,19106,17121,6862,6984,2899,2523
R,8,2019,41,4021368,2001992,2019376,1529023,1492689,261139,291739,27481,26303,137559,158147,6010,5546,40780,44952,1564017,1531187,275703,309017,42708,42933,153809,175771,10387,10232,1571915,1611352,1147530,1133878,242325,270893,14102,14470,133468,153906,4292,4090,30198,34115,1173132,1162842,252348,283200,24229,26009,147082,168874,7747,7856,430077,408024,381493,358811,18814,20846,13379,11833,4091,4241,1718,1456,10582,10837,390885,368345,23355,25817,18479,16924,6727,6897,2640,2376
R,8,2019,42,3988626,1979898,2008728,1514876,1486319,256479,289214,27578,26141,135868,157825,5847,5580,39250,43649,1548622,1523548,270352,305826,42507,42601,151372,174950,10168,10245,1555220,1600588,1137732,1126288,238370,268666,14346,14733,131647,153687,4125,4087,29000,33127,1162364,1154292,247755,280492,24383,26239,144601,168134,7511,7798,424678,408140,377144,360031,18109,20548,13232,11408,4221,4138,1722,1493,10250,10522,386258,369256,22597,25334,18124,16362,6771,6816,2657,2447
R,8,2019,43,3856126,1913772,1942354,1461465,1437991,246080,276735,26571,25093,136571,156416,5461,5252,37624,40867,1493847,1472771,258968,292092,41006,40694,151574,172555,9674,9582,1499615,1541762,1093176,1083856,228529,256868,13679,13863,132571,152315,3908,3862,27752,30998,1116774,1109975,237135,267734,23333,24788,145213,165963,7234,7347,414157,400592,368289,354135,17551,19867,12892,11230,4000,4101,1553,1390,9872,9869,377073,362796,21833,24358,17673,15906,6361,6592,2440,2235
R,8,2019,44,3956146,1967288,1988858,1506712,1476300,251834,282908,26558,25500,140901,159458,5618,5078,35665,39614,1537113,1509982,263994,297471,40529,40729,155124,175221,9587,9201,1550763,1587151,1134478,1119665,234883,263770,13666,14233,136929,155485,4072,3752,26735,30246,1156997,1145117,243246,274051,23196,24957,149032,168970,7260,7067,416525,401707,372234,356635,16951,19138,12892,11267,3972,3973,1546,1326,8930,9368,380116,364865,20748,23420,17333,15772,6092,6251,2327,2134
R,8,2019,45,3853938,1909369,1944569,1463227,1445096,242980,275471,25912,24692,138096,156480,5176,4959,33978,37871,1492146,1477098,254429,289348,39397,39530,151656,171473,9011,8956,1511765,1555205,1107076,1098386,227238,257334,13404,13916,134501,152708,3812,3674,25734,29187,1128750,1122760,235159,267311,22740,24541,146136,165613,6920,6905,397604,389364,356151,346710,15742,18137,12508,10776,3595,3772,1364,1285,8244,8684,363396,354338,19270,22037,16657,14989,5520,5860,2091,2051
R,8,2019,46,3879156,1914343,1964813,1466834,1460285,246453,281165,25345,24887,137181,156378,5070,4883,33460,37215,1495205,1491674,257395,294648,38774,39693,150679,171142,8827,8782,1528431,1581902,1120794,1119158,231279,263465,13388,14175,133677,152619,3755,3645,25538,28840,1142202,1143202,238853,273186,22821,24963,145345,165342,6809,6808,385912,382911,346040,341127,15174,17700,11957,10712,3504,3759,1315,1238,7922,8375,353003,348472,18542,21462,15953,14730,5334,5800,2018,1974
R,8,2019,47,4040412,1996144,2044268,1540254,1531325,255187,290066,25855,24909,136567,155927,5055,4831,33226,37210,1568294,1562683,265836,303234,39686,40211,149747,170454,8803,8788,1613769,1664962,1197062,1192953,240351,272726,13910,14418,132998,152295,3752,3590,25696,28980,1218480,1217084,247904,282227,23900,25653,144419,164924,6793,6841,382375,379306,343192,338372,14836,17340,11945,10491,3569,3632,1303,1241,7530,8230,349814,345599,17932,21007,15786,14558,5328,5530,2010,1947
R,8,2019,48,4262382,2104528,2157854,1643043,1635461,263728,302389,26051,25710,132667,151399,5042,4910,33997,37985,1671810,1667482,274529,315685,40521,41707,145926,165866,8971,9104,1726170,1781799,1303402,1300325,249031,285129,14459,15032,129090,147794,3716,3685,26472,29834,1325576,1325211,256681,294802,25065,27046,140584,160305,6930,7142,378358,376055,339641,335136,14697,17260,11592,10678,3577,3605,1326,1225,7525,8151,346234,342271,17848,20883,15456,14661,5342,5561,2041,1962
R,8,2019,49,4334070,2146805,2187265,1681449,1666312,267451,301231,26311,25517,132899,151962,5137,5067,33558,37176,1709800,1697430,278054,314107,40813,41529,145687,166140,9123,9284,1766744,1817351,1340378,1336179,252588,284525,14472,15258,129362,148302,3841,3852,26103,29235,1362168,1360398,260147,293954,25135,27292,140389,160489,7135,7342,380061,369914,341071,330133,14863,16706,11839,10259,3537,3660,1296,1215,7455,7941,347632,337032,17907,20153,15678,14237,5298,5651,1988,1942
R,8,2019,50,4118066,2036569,2081497,1603033,1595173,247911,280342,24878,24193,124923,142910,4777,4769,31047,34110,1629335,1623763,257303,291721,38723,39412,136746,155733,8375,8579,1681163,1734271,1283697,1285033,234113,264770,14035,14518,121695,139511,3592,3613,24031,26826,1303848,1307296,240620,272955,24235,26039,131908,150614,6541,6762,355406,347226,319336,310140,13798,15572,10843,9675,3228,3399,1185,1156,7016,7284,325487,316467,16683,18766,14488,13373,4838,5119,1834,1817
R,8,2019,51,4004031,1976808,2027223,1554396,1551066,245916,278898,24165,23542,118715,136891,4527,4578,29089,32248,1578823,1577874,254675,289606,37435,38162,129708,148870,7924,8410,1634153,1691634,1246697,1251039,232314,263687,13564,14387,115697,133740,3359,3445,22522,25336,1265357,1271829,238368,271388,23438,25530,125190,144103,6177,6641,342655,335589,307699,300027,13602,15211,10601,9155,3018,3151,1168,1133,6567,6912,313466,306045,16307,18218,13997,12632,4518,4767,1747,1769
R,8,2019,52,4000491,1968480,2032011,1559187,1567870,243663,278750,23425,23486,109692,126137,4565,4536,27948,31232,1582665,1593838,251945,289344,36524,38002,120007,137246,7884,8183,1640597,1707788,1264256,1278044,230812,263896,13582,14683,106741,123156,3431,3437,21775,24572,1282312,1298220,236539,271535,23427,25800,115657,132730,6230,6503,327883,324223,294931,289826,12851,14854,9843,8803,2951,2981,1134,1099,6173,6660,300353,295618,15406,17809,13097,12202,4350,4516,1654,1680
R,8,2019,53,4052548,1992929,2059619,1575850,1588361,251264,286269,23701,23688,110012,125965,4450,4530,27652,30806,1598800,1613900,259522,296425,36992,38417,119975,136890,7841,8162,1670013,1741138,1285679,1303726,238226,271726,13933,15015,107199,122940,3392,3512,21584,24219,1303323,1323568,243916,278999,24098,26380,115763,132307,6241,6532,322916,318481,290171,284635,13038,14543,9768,8673,2813,3025,1058,1018,6068,6587,295477,290332,15606,17426,12894,12037,4212,4583,1600,1630
R,8,2019,54,4281850,2102991,2178859,1670477,1690042,262912,299386,24671,24842,111862,128036,4660,4723,28409,31830,1694187,1716361,271131,309742,38552,40322,122058,139105,8116,8510,1778324,1858059,1378623,1403228,249946,284701,14924,16146,108987,125026,3621,3706,22223,25252,1396909,1423841,255640,292196,25474,28283,117824,134562,6505,6882,324667,320800,291854,286814,12966,14685,9747,8696,2875,3010,1039,1017,6186,6578,297278,292520,15491,17546,13078,12039,4234,4543,1611,1628
R,8,2019,55,4374427,2138106,2236321,1708983,1745837,260482,299207,24468,24987,111444,129979,4401,4622,28328,31689,1732532,1772014,268474,309047,38719,40910,121484,140987,7894,8384,1829615,1924661,1431833,1467195,247972,284879,15140,16376,108769,127181,3426,3637,22475,25393,1450288,1487882,253573,292013,26261,29114,117484,136719,6355,6818,308491,311660,277150,278642,12510,14328,9328,8611,2675,2798,975,985,5853,6296,282244,284132,14901,17034,12458,11796,4000,4268,1539,1566
R,8,2019,56,4359454,2124329,2235125,1702014,1751459,254800,293842,23941,24440,111562,129488,4190,4504,27822,31392,1725187,1777291,262446,303662,38020,40395,121435,140129,7522,8215,1832380,1936683,1439626,1484701,243034,280392,15106,16206,108941,126665,3290,3575,22383,25144,1458079,1505125,248436,287520,26269,28966,117596,135850,6145,6695,291949,298442,262388,266758,11766,13450,8835,8234,2621,2823,900,929,5439,6248,267108,272166,14010,16142,11751,11429,3839,4279,1377,1520
R,8,2019,57,4341633,2111614,2230019,1704222,1760882,249750,290218,23241,24223,102744,119452,4291,4463,27366,30781,1727097,1786130,257074,299834,37159,40208,112451,129773,7667,8120,1831888,1943842,1452564,1504819,238609,277660,14852,16227,100318,116765,3440,3551,22105,24820,1470856,1524952,243790,284649,25987,29151,108807,125710,6314,6607,279726,286177,251658,256063,11141,12558,8389,7996,2426,2687,851,912,5261,5961,256241,261178,13284,15185,11172,11057,3644,4063,1353,1513
R,8,2019,58,4374474,2120576,2253898,1721866,1788636,247080,289945,22684,24119,97796,116843,4089,4230,27061,30125,1744409,1813335,254254,299103,36759,40103,107327,126871,7346,7813,1854987,1978901,1483078,1542415,236530,277696,14706,16672,95425,114253,3283,3405,21965,24460,1501164,1562232,241663,284452,26029,29698,103771,122940,6044,6413,265589,274997,238788,246221,10550,12249,7978,7447,2371,2590,806,825,5096,5665,243245,251103,12591,14651,10730,10405,3556,3931,1302,1400
R,8,2019,59,4415931,2142347,2273584,1732238,1796775,253237,295512,22992,24238,102741,122846,4157,4268,26982,29945,1754828,1821231,260292,304755,37048,40091,112209,132764,7378,7806,1875811,1998920,1492625,1550782,242550,283320,14939,16808,100383,120233,3334,3463,21980,24314,1510841,1570382,247605,290159,26294,29734,108731,128810,6056,6456,266536,274664,239613,245993,10687,12192,8053,7430,2358,2613,823,805,5002,5631,243987,250849,12687,14596,10754,10357,3478,3954,1322,1350
R,8,2019,60,4268831,2061675,2207156,1676409,1754174,239507,282907,21269,22772,95314,115177,3842,3928,25334,28198,1697519,1777379,246036,291320,34712,38143,104196,124311,6775,7125,1820756,1954481,1459779,1527842,229822,271601,14086,15876,93157,112797,3115,3221,20797,23144,1476982,1546689,234530,277843,25058,28581,100980,120784,5605,5957,240919,252675,216630,226332,9685,11306,7183,6896,2157,2380,727,707,4537,5054,220537,230690,11506,13477,9654,9562,3216,3527,1170,1168
R,8,2019,61,4205540,2023331,2182209,1651066,1742035,229221,272227,20096,21959,94961,115046,3604,3820,24383,27122,1671336,1764218,235553,280387,33188,36859,103358,123803,6409,6836,1799857,1942967,1450392,1527586,219948,261469,13549,15582,92969,112902,2927,3118,20072,22310,1466922,1545653,224520,267549,24340,27917,100413,120536,5308,5704,223474,239242,200674,214449,9273,10758,6547,6377,1992,2144,677,702,4311,4812,204414,218565,11033,12838,8848,8942,2945,3267,1101,1132
R,8,2019,62,4161725,1993845,2167880,1631657,1734219,223350,270279,19880,21370,91874,112020,3496,3617,23588,26375,1651235,1755879,229522,278123,32780,36346,99817,120071,6197,6606,1779393,1935395,1439088,1525714,214563,259834,13333,15198,89988,109994,2875,2948,19546,21707,1455148,1543331,219080,265669,24017,27698,97083,116986,5206,5491,214452,232485,192569,208505,8787,10445,6547,6172,1886,2026,621,669,4042,4668,196087,212548,10442,12454,8763,8648,2734,3085,991,1115
R,8,2019,63,4007740,1911638,2096102,1566133,1676199,211426,259324,18590,20591,89975,111079,3225,3476,22289,25433,1584717,1697038,217158,266867,30782,35021,97397,118966,5806,6303,1709505,1874112,1384700,1477154,203099,249359,12503,14812,88166,108980,2637,2903,18400,20904,1399897,1494091,207211,254928,22570,26863,94750,115827,4856,5303,202133,221990,181433,199045,8327,9965,6087,5779,1809,2099,588,573,3889,4529,184820,202947,9947,11939,8212,8158,2647,3139,950,1000
R,8,2019,64,3949086,1878460,2070626,1544466,1662412,202966,250353,17879,19524,88655,110868,3075,3373,21419,24096,1562190,1682057,208471,257521,29781,33070,95743,118412,5577,6125,1684227,1855302,1369489,1468451,195005,241087,12298,14139,86967,108950,2551,2787,17917,19888,1384178,1484422,199055,246416,22298,25481,93298,115571,4716,5160,194233,215324,174977,193961,7961,9266,5581,5385,1688,1918,524,586,3502,4208,178012,197635,9416,11105,7483,7589,2445,2841,861,965
R,8,2019,65,3789429,1791184,1998245,1481773,1613125,187358,236645,16380,18290,83185,104552,2815,3152,19673,22481,1498199,1631435,192336,243261,27560,31291,89540,111283,4970,5735,1615234,1799112,1323031,1433368,180035,228255,11491,13438,81754,102775,2349,2604,16574,18672,1336754,1448374,183700,233202,21011,24407,87421,108704,4240,4847,175950,199133,158742,179757,7323,8390,4889,4852,1431,1777,466,548,3099,3809,161445,183061,8636,10059,6549,6884,2119,2579,730,888
R,8,2019,66,3622907,1705838,1917069,1418930,1556355,171913,220375,15208,16958,78789,99322,2677,2894,18321,21165,1434187,1573683,176407,226473,25665,29275,84706,105732,4743,5308,1544152,1731620,1273056,1388697,165275,212502,10711,12541,77404,97738,2257,2427,15449,17715,1285825,1403015,168562,217128,19615,23008,82694,103370,4059,4534,161686,185449,145874,167658,6638,7873,4497,4417,1385,1584,420,467,2872,3450,148362,170668,7845,9345,6050,6267,2012,2362,684,774
R,8,2019,67,3482798,1636271,1846527,1368345,1503939,159877,209004,13897,15921,74704,95549,2551,2787,16897,19327,1382379,1519793,164085,214516,23673,27424,80034,101171,4534,4997,1486988,1673917,1233327,1347859,153858,201626,9934,11799,73434,94048,2162,2357,14273,16228,1245074,1361004,156977,205810,18264,21652,78209,98992,3882,4262,149283,172610,135018,156080,6019,7378,3963,4122,1270,1501,389,430,2624,3099,137305,158789,7108,8706,5409,5772,1825,2179,652,735
R,8,2019,68,3349459,1566324,1783135,1310790,1451217,154140,204526,13316,15181,69793,91279,2316,2562,15969,18370,1324050,1466225,158089,209927,22762,26221,74691,96463,4153,4648,1423777,1617692,1181569,1301674,148431,197499,9626,11183,68633,89775,1986,2173,13532,15388,1192708,1314067,151372,201617,17721,20643,73012,94295,3610,3976,142547,165443,129221,149543,5709,7027,3690,3998,1160,1504,330,389,2437,2982,131342,152158,6717,8310,5041,5578,1679,2168,543,672
R,8,2019,69,3252182,1519576,1732606,1266536,1406057,149216,197412,12941,14515,73048,94414,2360,2521,15475,17687,1279373,1420406,153087,202619,22123,24964,77772,99645,4146,4592,1383682,1571580,1143435,1260279,143697,190463,9448,10848,71961,92992,1981,2160,13160,14838,1154273,1272175,146606,194406,17318,19810,76184,97548,3577,3955,135894,161026,123101,145778,5519,6949,3493,3667,1087,1422,379,361,2315,2849,125100,148231,6481,8213,4805,5154,1588,2097,569,637
R,8,2019,70,3144568,1465920,1678648,1233504,1376130,136228,183062,12116,13515,67574,86898,2246,2452,14252,16591,1245362,1389740,139644,187835,20658,23556,71890,91517,3913,4319,1341377,1530728,1120466,1241864,131349,176844,8899,10171,66551,85683,1911,2095,12201,14071,1130552,1253298,133913,180500,16329,18917,70399,89736,3369,3729,124543,147920,113038,134266,4879,6218,3217,3344,1023,1215,335,357,2051,2520,114810,136442,5731,7335,4329,4639,1491,1781,544,590
R,8,2019,71,3080786,1433792,1646994,1215927,1362218,127374,172762,11235,12781,63794,81102,2007,2252,13455,15879,1227139,1375334,130666,177191,19354,22414,67754,85527,3547,4046,1316383,1506041,1109231,1234182,122750,166968,8352,9673,62857,79903,1709,1927,11484,13388,1118710,1245107,125264,170331,15382,18010,66380,83777,3083,3494,117409,140953,106696,128036,4624,5794,2883,3108,937,1199,298,325,1971,2491,108429,130227,5402,6860,3972,4404,1374,1750,464,552
R,8,2019,72,3199304,1487036,1712268,1282150,1443840,119274,162562,11223,12364,58973,75672,1898,1975,13518,15855,1293514,1457064,122465,166962,19668,22254,62701,79877,3432,3667,1376630,1577210,1181590,1320776,115177,157133,8431,9508,58120,74538,1629,1685,11683,13570,1191367,1331989,117646,160568,15882,18165,61402,78253,2979,3190,110406,135058,100560,123064,4097,5429,2792,2856,853,1134,269,290,1835,2285,102147,125075,4819,6394,3786,4089,1299,1624,453,477
R,8,2019,73,2387814,1100070,1287744,935363,1068359,93354,130788,8568,9890,50708,64503,1701,1758,10376,12446,944078,1078644,95820,134185,14756,17232,53790,68138,2960,3236,1005987,1169146,849645,960441,89704,125767,6277,7432,50003,63538,1475,1514,8883,10454,857075,968988,91545,128331,11676,13718,52750,66721,2579,2828,94083,118598,85718,107918,3650,5021,2291,2458,705,965,226,244,1493,1992,87003,109656,4275,5854,3080,3514,1040,1417,381,408
R,8,2019,74,2279657,1042914,1236743,886734,1026089,89336,126962,7954,9394,47706,60959,1474,1658,9710,11681,894873,1035761,91631,130148,13758,16312,50556,64323,2712,3051,954669,1125205,806183,924218,86062,122473,5892,7115,46994,60081,1263,1421,8275,9897,813052,932340,87776,124883,10923,13111,49527,63037,2360,2647,88245,111538,80551,101871,3274,4489,2062,2279,712,878,211,237,1435,1784,81821,103421,3855,5265,2835,3201,1029,1286,352,404
R,8,2019,75,2198177,998410,1199767,854973,1004445,81739,117875,7341,8681,44131,56137,1338,1476,8888,11153,862443,1013678,83767,120988,12688,15407,46728,59217,2456,2821,919704,1096525,783042,910020,78694,113897,5514,6579,43572,55284,1170,1273,7712,9472,789479,917798,80266,116284,10250,12433,45895,57990,2171,2471,78706,103242,71931,94425,3045,3978,1827,2102,559,853,168,203,1176,1681,72964,95880,3501,4704,2438,2974,833,1227,285,350
R,8,2019,76,2226620,1005486,1221134,871123,1035143,77370,115000,6778,8239,40628,50725,1188,1314,8399,10713,878236,1044090,79274,117899,11979,14798,42918,53586,2214,2546,932386,1122582,804204,945156,74575,110985,5216,6249,40053,49988,1048,1128,7290,9076,810380,952687,76021,113141,9849,11991,42069,52476,1948,2229,73100,98552,66919,89987,2795,4015,1562,1990,575,737,140,186,1109,1637,67856,91403,3253,4758,2130,2807,849,1110,266,317
R,8,2019,77,1927601,862605,1064996,741773,895788,68144,102387,6030,7267,38171,49093,1023,1219,7464,9242,748006,903486,69878,104852,10624,12924,40295,51616,1901,2245,797394,976572,682036,814658,65634,99035,4651,5527,37699,48416,887,1019,6487,7917,687429,821196,66980,100929,8726,10491,39593,50644,1661,1941,65211,88424,59737,81130,2510,3352,1379,1740,472,677,136,200,977,1325,60577,82290,2898,3923,1898,2433,702,972,240,304
R,8,2019,78,1731311,765443,965868,656775,810278,60858,94886,5442,6601,34789,44531,956,1051,6623,8521,662358,817361,62346,97170,9466,11774,36725,46928,1753,2038,705750,883867,602052,734941,58598,91753,4193,5113,34356,43908,845,891,5706,7261,606840,740941,59711,93504,7745,9626,36071,46001,1549,1759,59693,82001,54723,75337,2260,3133,1249,1488,433,623,111,160,917,1260,55518,76420,2635,3666,1721,2148,654,927,204,279
R,8,2019,79,1606149,703973,902176,601032,754075,57165,90209,5045,6222,33642,42684,911,1091,6178,7895,606203,760648,58576,92364,8704,10947,35548,44875,1654,2014,647283,823359,549068,681754,55038,87122,3834,4782,33196,42095,786,897,5361,6709,553545,687289,56114,88761,7056,8887,34902,44025,1454,1708,56690,78817,51964,72321,2127,3087,1211,1440,446,589,125,194,817,1186,52658,73359,2462,3603,1648,2060,646,850,200,306
R,8,2019,80,1478419,644865,833554,553913,701658,50475,80335,4294,5500,30078,37904,737,998,5368,7159,558456,707616,51698,82226,7485,9767,31683,39946,1382,1870,593501,761315,506753,635247,48489,77514,3257,4240,29717,37370,632,852,4653,6092,510662,640307,49423,78928,6072,7960,31153,39160,1224,1603,51364,72239,47160,66411,1986,2821,1037,1260,361,534,105,146,715,1067,47794,67309,2275,3298,1413,1807,530,786,158,267
